id,status,chars,lines,attempts,last_attempt,note
cab3dc48-123e-4fdc-8ca8-10d067c841b0,failed,0,511,1,2026-08-31T21:00:45Z,blocked (cookie/JS wall)
cd6f32c7-2c66-4423-8ff5-b998f48126e0,failed,0,34,1,2026-08-31T13:31:31Z,only_34_lines
ce59423a-ece5-418f-bd39-14da130d9598,ok,5836,90,1,2026-08-31T13:31:31Z,
cf9613df-d8e3-4474-87fd-386eaa1816e8,failed,0,4,1,2026-08-31T14:31:04Z,only_4_lines
d02658b8-38cb-4fc7-9841-62916abfefc2,failed,0,9,1,2026-08-31T14:31:04Z,only_9_lines
d0337534-379c-4a13-ba43-0946fd91d5fd,failed,0,8,1,2026-08-31T20:02:25Z,only_8_lines
d1787088-b958-47f6-91df-8bc1262f98bf,ok,8222,100,1,2026-08-31T15:00:57Z,
d1a12763-bd6a-435c-bc94-05274ad822f1,failed,0,4,1,2026-08-31T16:31:03Z,only_4_lines
d1b794fd-26be-4c15-bf39-5df493a20cd7,failed,0,511,1,2026-08-31T19:01:00Z,blocked (cookie/JS wall)
d392b2b1-5d8e-4ea6-969f-665fbd492ba4,failed,0,4,1,2026-08-31T18:31:00Z,only_4_lines
d3d390d0-c2a6-4fdd-8c45-3b5fd2e8bc07,failed,0,9,1,2026-08-31T19:01:00Z,only_9_lines
d3ee5bc4-7518-4aa5-b4c1-53a1a4793a3e,failed,0,4,1,2026-08-31T20:02:25Z,only_4_lines
d49211be-b915-4375-8c6a-17b40be46506,failed,0,5,1,2026-08-31T19:33:25Z,only_5_lines
d4bd04b2-b4a7-41b4-ab15-339b8e50f45e,failed,0,12,1,2026-08-31T14:31:04Z,only_12_lines
d738cea5-b94d-4242-a6e3-00a441104aad,failed,0,4,1,2026-08-31T21:00:45Z,only_4_lines
d78c5e39-dccf-475e-9124-2c3a66982e2c,failed,0,15,1,2026-08-31T20:02:25Z,only_15_lines
dc5059f5-acc3-4aa6-bb67-ecd5a9e42cbe,ok,8767,114,1,2026-08-31T13:31:31Z,
dd1b5c69-83f6-47c2-9e9b-02fcd73f5019,failed,0,511,1,2026-08-31T21:57:50Z,blocked (cookie/JS wall)
e018a2ac-82d3-4544-85aa-440aa29efa03,ok,5186,101,1,2026-08-31T21:00:45Z,
e187ad72-4116-4c14-a34f-8e95e658b89c,failed,0,4,1,2026-08-31T21:31:22Z,only_4_lines
e42a0957-f1e1-461b-be85-4b1399cbf8c5,failed,0,181,1,2026-08-31T21:31:22Z,no posting-like text (6623c)
e64f8833-28d9-4336-8818-8f38d5d83e2b,failed,0,7,1,2026-08-31T18:31:00Z,only_7_lines
e8b59897-2766-4ebd-907b-14e589a75372,failed,0,10,1,2026-08-31T17:00:55Z,only_10_lines
ea64c40c-c89c-49ac-b395-a3c66a568e0f,failed,0,8,1,2026-08-31T14:31:04Z,only_8_lines
ee03f6e5-4ee4-4045-9664-e38ffc7617bd,ok,7968,67,1,2026-08-31T13:31:31Z,
ef507edc-8e28-42bb-8700-a616adc2d5cb,failed,0,3,1,2026-08-31T14:31:04Z,only_3_lines
eff23e0e-2522-445b-925a-811fe2e459d1,failed,0,8,1,2026-08-31T20:30:49Z,only_8_lines
f0ac800d-804a-400b-9ee5-a6006e56c30b,failed,0,11,1,2026-08-31T18:31:00Z,only_11_lines
f15eabeb-73d9-4a1d-b314-38d1600f8365,failed,0,8,1,2026-08-31T17:00:55Z,only_8_lines
